Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
7.870048699221933e-05,800.0000000000001,0.9999999999999296,0.003867977304869057,0.09218045996755071,0.48332582048908146,0.13879013950216,0.007719423024420788,0.235877475871929,0.03823870383998889,0.7667639503940684,8.377100553349682e-06,0.0007862984934402378,0.010370139748518989,0.00586081964024224,2.386274278998094e-07,4.840758816460365e-06,9.987016879108423e-09,3.2102089096561855e-11,2.21357513593776e-06,0.21620311164267744
7.873555071703344e-05,800.0000000000001,0.9999999999999297,0.0038658403301613776,0.09205969325197749,0.483448677882332,0.13872982138109766,0.00772134114044129,0.23593591796518046,0.038238708048809876,0.7673020941009913,8.371112451618143e-06,0.0007870486321995236,0.010371810950056107,0.005866560114811314,2.387366031720854e-07,4.838663968017972e-06,9.9894014923309e-09,3.210975359758047e-11,2.2197793013455345e-06,0.21565680788810615
7.877061444184756e-05,800.0000000000001,0.9999999999999297,0.00386370818203495,0.09193891023306451,0.4835715543969631,0.13866948433639795,0.00772329056809344,0.23599434072078082,0.038238711562665166,0.7678430288092556,8.365184712941237e-06,0.0007878019484126505,0.01037352327538463,0.005872349243248021,2.388464091094213e-07,4.836581674260311e-06,9.99184058355461e-09,3.211759319563583e-11,2.2260573460425175e-06,0.21510762002959868
7.880567816666168e-05,800.0000000000001,0.9999999999999297,0.0038615809297170714,0.09181811039852703,0.48369445055279847,0.13860912800374658,0.007725271601051526,0.23605274413958327,0.03823871437457617,0.7683867882234704,8.359318650938973e-06,0.000788558479838625,0.010375277518010626,0.005878187608360499,2.3895685273386885e-07,4.834512189095943e-06,9.99433509894988e-09,3.212561093175596e-11,2.2324106632114777e-06,0.21455551294550282
7.88407418914758e-05,800.0000000000001,0.9999999999999297,0.003859458644395348,0.09169729322786677,0.48381736687751137,0.13854875201247513,0.007727284538565436,0.23611112822176686,0.03823871647741889,0.7689334069810609,8.353515635614313e-06,0.0007893182652638823,0.010377074495262595,0.005884075807032284,2.39067941246645e-07,4.832455774326856e-06,9.996886013465864e-09,3.213380993946189e-11,2.238840699539684e-06,0.21400045054230973
7.887580561628991e-05,800.0000000000001,0.9999999999999296,0.0038573413993190082,0.09157645819198214,0.48394030390698667,0.13848835598526119,0.007729329685715904,0.23616949296681733,0.03823871786391767,0.7694829204787338,8.347777102804631e-06,0.0007900813442801197,0.010378915046021025,0.005890014448657283,2.391796820460789e-07,4.830412699217417e-06,9.999494328468074e-09,3.21421934371751e-11,2.245348944980415e-06,0.2134423959322419
7.891086934110403e-05,800.0000000000001,0.9999999999999297,0.003855229269879802,0.09145560475285723,0.48406326218560997,0.1384279395378878,0.0077314073536182484,0.23622783837350744,0.038238718526639605,0.7700353651556425,8.342104493608784e-06,0.0007908477576255535,0.010380800035905899,0.005896004158197579,2.3929208273151973e-07,4.828383241885555e-06,1.0002161077682054e-08,3.21507647473271e-11,2.2519369262505544e-06,0.21288131114157216
7.894593306591815e-05,800.0000000000001,0.9999999999999297,0.0038531223336639637,0.09133473236336907,0.48418624226644696,0.13836750227909309,0.007733517859551674,0.236286164439884,0.0382387184579911,0.7705907784040941,8.33649930000801e-06,0.0007916175470730124,0.010382730355998916,0.005902045575374794,2.394051511092308e-07,4.826367689042942e-06,1.0004887325796343e-08,3.215952729186407e-11,2.258606219029555e-06,0.21231715720205305
7.898099679073226e-05,800.0000000000001,0.99999999999993,0.0038510206705099225,0.09121384046707533,0.4843092447114407,0.13830704381040487,0.007735661527101902,0.23634447116325316,0.03823871765021419,0.7711491986000566,8.330963061058938e-06,0.0007923907554630806,0.010384706923575569,0.005908139355085546,2.3951889519865525e-07,4.8243663362321825e-06,1.0007674169376033e-08,3.2168484595184085e-11,2.2653584459443908e-06,0.21174989411923814
7.901606051554638e-05,800.0000000000001,0.9999999999999297,0.003848924362588486,0.09109292849791609,0.48443227009168854,0.13824656372590766,0.007737838686359994,0.2364027585401584,0.03823871609538082,0.7717106651813896,8.32549735358314e-06,0.000793167426792677,0.010386730684140899,0.005914286168397162,2.3963332324182263e-07,4.822379488487847e-06,1.0010522739274667e-08,3.21776402918899e-11,2.2721952783223046e-06,0.2111794807911357
